name,gcn,t90,tobs,mag,z
GRB 210722A,30476,50.2,123,14.33,1.145(https://gcn.gsfc.nasa.gov/gcn3/30487.gcn3)
GRB 210323A,29700,1.12,91,20.4(ul),999
GRB 210222B,29551,12.82,95,14.5,2.198(https://gcn.gsfc.nasa.gov/gcn3/29552.gcn3)
GRB 210218A,29530,240,93,20.4(ul),999
GRB 210217A,29523,4.22,84,18.6,999
GRB 210205A,29401,22.7,1109,19.9(ul),999
GRB 210104B,29250,19.94,75,21.0(ul),999
GRB 201223A,29159,29,168,15.67,999
GRB 201221D,29118,0.16,65,21.3(ul),1.045(https://gcn.gsfc.nasa.gov/gcn3/29132.gcn3)
GRB 201026A,28786,135.38,721,20.5(ul),999
GRB 201014A,28655,36.2,232,20.9,4.56(https://gcn.gsfc.nasa.gov/gcn3/28650.gcn3)
GRB 201015A,28653,9.78,78,18.34,0.426(https://gcn.gsfc.nasa.gov/gcn3/28649.gcn3)
GRB 200216B,27104,81.3,73,20.0(ul),999
GRB 200215A,27081,11.7,88,18.0(ul),999
